Name,A,I,O,R,F,Pin,Function,"Power, Clock, Debug, System",ICU,SSI_COMMON,IIC,AGT,ETHERC_RMII,SCI,GPT,ADC,CANFD,GPT_POEG,RTC,CAC,SSI,SPI,USB_HS,CEC,CTSU,USB_FS,SDHI,GPT_OPS,QSPI,BUS_ASYNCH,OSPI,DAC,Symbolic Name,IRQ,Mode,Port Capabilities,Pin Function Comment,Direction,Remarks,Pin Number Comment,Pull up,Output type,Drive Capacity
VBATT,,,,,,18,SYSTEM0_VBATT,VBATT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCL0,,,,,,19,SYSTEM0_VCL0,VCL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
XCIN,,,,,,20,CGC0_XCIN,XCIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
XCOUT,,,,,,21,CGC0_XCOUT,XCOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS,,,,,,22,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
P213,,,,,,23,CGC0_XTAL,XTAL,IRQ02,,,AGTEE2,,TXD1/SDA1,GTIOC0A,ADTRG1,,GTETRGC,,,,,,,,,,,,,,,,None,Peripheral mode,ADC1: ADTRG1,,,,,,,
P212,,,,,,24,CGC0_EXTAL,EXTAL,IRQ03,,,AGTEE1,,RXD1/SCL1,GTIOC0B,,,GTETRGD,,,,,,,,,,,,,,,,None,Peripheral mode,AGT1: AGTEE1,,,,,,,
VCC,,,,,,25,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
AVCCUSBHS,,,,,,26,USB_HS0_AVCC_USBHS,AVCC_USBHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
USBHSRREF,,,,,,27,USB_HS0_USBHS_RREF,USBHS_RREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
AVSSUSBHS,,,,,,28,USB_HS0_AVSS_USBHS,AVSS_USBHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
PVSSUSBHS,,,,,,29,USB_HS0_PVSS_USBHS,PVSS_USBHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS2USBHS,,,,,,30,USB_HS0_VSS2_USBHS,VSS2_USBHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
USBHSDM,,,,,,31,USB_HS0_USBHS_DM,USBHS_DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
USBHSDP,,,,,,32,USB_HS0_USBHS_DP,USBHS_DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS1USBHS,,,,,,33,USB_HS0_VSS1_USBHS,VSS1_USBHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCCUSBHS,,,,,,34,USB_HS0_VCC_USBHS,VCC_USBHS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
AGT3: AGTIO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT3: AGTIO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT3: AGTIO3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT3: AGTOA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT3: AGTOB3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT4: AGTOA4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGT4: AGTOB4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSSUSB,,,,,,45,USB_FS0_VSS_USB,VSS_USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
USBDM,,,,,,46,USB_FS0_USB_DM,USB_DM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
USBDP,,,,,,47,USB_FS0_USB_DP,USB_DP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCCUSB,,,,,,48,USB_FS0_VCC_USB,VCC_USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
BUS_ASYNCH0: A05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P205,,,,,,51,SPI0_SSLA0,CLKOUT,IRQ01,,SCL1,AGTO1,ET0_WOL,TXD4/SDA4/CTSRTS9,GTIOC4A,,,,,,SSILRCK0,SSLA0,,,TS01,USB_OVRCURA,SD0DAT3,GTIV,,A16,,,MIKROBUS_SS_ARDUINO_SS,None,Peripheral mode,AGT1: AGTO1,,,,,,,
BUS_ASYNCH0: A09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSS,,,,,,60,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCC,,,,,,61,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
P214,,,,,,62,,TCLK,,,,AGTO5,ET0_MDC,,,,,,,,,,,,,,SD0CLK,GTIU,QSPCLK,,,,,,Disabled,AGT5: AGTO5,,,,,,,
P211,,,,,,63,,TDATA0,,,,AGTOA5,ET0_MDIO,,,,,,,,,,,,,,SD0CMD,GTIV,QIO0,CS7,,,,,Disabled,AGT5: AGTOA5,,,,,,,
P210,,,,,,64,,TDATA1,,,,AGTOB5,ET0_WOL,,,,,,,,,,,,,,SD0CD,GTIW,QIO1,CS6,,,,,Disabled,AGT5: AGTOB5,,,,,,,
P209,,,,,,65,,TDATA2,,,,AGTEE5,ET0_EXOUT,,,,,,,,,,,,,,SD0WP,GTOVUP,QIO2,CS5,,,,,Disabled,AGT5: AGTEE5,,,,,,,
P208,,,,,,66,,TDATA3,,,,,ET0_LINKSTA,,,,,,,,,,,,,,SD0DAT0,GTOVLO,QIO3,CS4,,,,,Disabled,BUS_ASYNCH0: CS4,,,,,,,
RES,,,,,,67,SYSTEM0_RES,RES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
P201,,,,,,68,,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,Disabled,SYSTEM0: MD,,None,,,,,
BUS_ASYNCH0: A18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: A19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"BUS_ASYNCH0: A21""",,,,,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: ALE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: BC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: CS7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSS,,,,,,83,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCC,,,,,,84,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
BUS_ASYNCH0: D02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P300,,,,,,88,DEBUG0_SWCLK,SWCLK/TCK,,,,,,,GTIOC0A,,,,,,,SSLA1,,,,,,GTOUUP,,,,,,,Peripheral mode,DEBUG0: SWCLK,,,,,,,
P108,,,,,,89,DEBUG0_SWDIO,SWDIO/TMS,,,,AGTOA3,,CTSRTS9,GTIOC0B,,,,,,,SSLA0,,,,,,GTOULO,,,,,,,Peripheral mode,AGT3: AGTOA3,,,,,,,
P109,,,,,,90,,TDO/TRACESWO/CLKOUT,,,,AGTOB3,,TXD9/SDA9,GTIOC1A,,CTX1,,,,,MOSIA,,,,,,GTOVUP,,,,,,,Disabled,AGT3: AGTOB3,,,,,,,
P110,,,,,,91,,TDI,IRQ03,,,AGTEE3,,CTSRTS2/RXD9/SCL9,GTIOC1B,,CRX1,,,,,MISOA,,,,,,GTOVLO,,,,,,,Disabled,AGT3: AGTEE3,,,,,,,
BUS_ASYNCH0: D05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCC,,,,,,97,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS,,,,,,98,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
BUS_ASYNCH0: D10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P611,,,,,,102,GPIO,CLKOUT,,,,AGTO3,,CTSRTS7,,,,,,CACREF,,,,,,,,,,,,,CAN_STBY,,Output mode (Initial Low),AGT3: AGTO3,,,,,,,
BUS_ASYNCH0: D13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: D15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: EBCLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BUS_ASYNCH0: WR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC0: CACREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCC,,,,,,110,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS,,,,,,111,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCL,,,,,,112,SYSTEM0_VCL,VCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
CAC0: CACREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC0: CACREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC0: CACREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC0: CACREF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0: CRX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0: CRX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0: CRX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0: CRX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0: CTX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P600,,,,,,122,OSPI0_OMSIO4,CLKOUT,,,,AGTIO3,,SCK9,GTIOC6B,,,,,CACREF,,,,,,,,,,RD,OMSIO4,,OSPI_SIO4,,Peripheral mode,AGT3: AGTIO3,,,,,,,
VCC,,,,,,123,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS,,,,,,124,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
CAN0: CTX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN0: CTX0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN1: CRX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN1: CRX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN1: CTX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAN1: CTX1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEC0: CECIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEC0: CECIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGC0: CLKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGC0: CLKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGC0: CLKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGC0: CLKOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CGC0: EXTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCC,,,,,,138,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS,,,,,,139,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
CGC0: XTAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCC,,,,,,149,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VSS,,,,,,150,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
CTSU0: TS08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VREFL,,,,,,153,ANALOG0_VREFL,VREFL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VREFH,,,,,,154,ANALOG0_VREFH,VREFH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
AVCC0,,,,,,155,ANALOG0_AVCC0,AVCC0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
AVSS0,,,,,,156,ANALOG0_AVSS0,AVSS0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VREFL0,,,,,,157,ANALOG0_VREFL0,VREFL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VREFH0,,,,,,158,ANALOG0_VREFH0,VREFH0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
CTSU0: TS10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TS19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CTSU0: TSCAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"DAC0: DA0""",,,,,,,IO,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DAC1: DA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG_TRACE0: TCLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG_TRACE0: TDATA0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG_TRACE0: TDATA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VSS,,,,,,170,SYSTEM0_VSS,VSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
VCC,,,,,,171,SYSTEM0_VCC,VCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IO,Read only,,,,
DEBUG_TRACE0: TDATA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG_TRACE0: TDATA3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG0: SWDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG0: TCK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG0: TDI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG0: TDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG0: TMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEBUG0: TRACESWO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_CRS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ERXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ERXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ERXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ERXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ERXD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ERXD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ETXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ETXD0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ETXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ETXD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_ETXD3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_EXOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_EXOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_EXOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_LINKSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_LINKSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_LINKSTA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_MDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_MDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_MDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_MDIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_RX_CLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_RX_CLK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_RX_DV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_RX_ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_RX_ER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_TX_EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_WOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_WOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ETHERC_MII0: ET0_WOL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
